/home/alex/git/intfeat/.venv/lib/python3.12/site-packages/joblib/_multiprocessing_helpers.py:44: UserWarning: [Errno 13] Permission denied.  joblib will operate in serial mode
  warnings.warn("%s.  joblib will operate in serial mode" % (e,))

===== Variant: bspline_integer_basis =====
Loaded rows [0, 400000) in 7.8s
Loaded rows [400000, 800000) in 8.9s
Tuning rows: train=400000 val=400000 (full train=400000, full val=400000)
[I 2026-02-19 11:36:37,899] A new study created in RDB with name: qcap_large_token_400k_bspline_integer_basis
Study 'qcap_large_token_400k_bspline_integer_basis': completed_before=0, target=100, running_now=100
/home/alex/git/intfeat/.venv/lib/python3.12/site-packages/torch/cuda/__init__.py:182: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 11040). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at /pytorch/c10/cuda/CUDAFunctions.cpp:109.)
  return torch._C._cuda_getDeviceCount() > 0
[I 2026-02-19 14:16:56,837] Trial 22 finished with value: 0.47316879046007115 and parameters: {'lr': 0.0012001629444458155, 'weight_decay': 3.917023224739988e-07}. Best is trial 12 with value: 0.473108965717916.
[I 2026-02-19 14:23:50,182] Trial 23 finished with value: 0.473128896695113 and parameters: {'lr': 0.0017556554755606651, 'weight_decay': 4.259540590506758e-07}. Best is trial 12 with value: 0.473108965717916.
[I 2026-02-19 14:30:45,707] Trial 24 finished with value: 0.47524674924517923 and parameters: {'lr': 0.0032762240849891077, 'weight_decay': 5.16891716951029e-08}. Best is trial 12 with value: 0.473108965717916.
[I 2026-02-19 14:37:46,053] Trial 25 finished with value: 0.4793490374607611 and parameters: {'lr': 0.0053390375621314295, 'weight_decay': 5.2706479208551824e-06}. Best is trial 12 with value: 0.473108965717916.
[I 2026-02-19 14:45:29,520] Trial 26 finished with value: 0.47403418346454884 and parameters: {'lr': 0.0024924362688011643, 'weight_decay': 4.2088785044144164e-07}. Best is trial 12 with value: 0.473108965717916.
[I 2026-02-19 14:52:46,345] Trial 27 finished with value: 0.4731132911855149 and parameters: {'lr': 0.001589576227289421, 'weight_decay': 4.046074804865685e-08}. Best is trial 12 with value: 0.473108965717916.
[I 2026-02-19 14:59:47,472] Trial 28 finished with value: 0.4739548601491448 and parameters: {'lr': 0.0008212582938272786, 'weight_decay': 4.23305573403652e-08}. Best is trial 12 with value: 0.473108965717916.
[I 2026-02-19 15:07:03,386] Trial 29 finished with value: 0.4735501829857107 and parameters: {'lr': 0.0021656646862363857, 'weight_decay': 2.2687808780689483e-07}. Best is trial 12 with value: 0.473108965717916.
[I 2026-02-19 15:14:15,222] Trial 30 finished with value: 0.47638344751632844 and parameters: {'lr': 0.00046630725707128495, 'weight_decay': 4.5507769227738415e-08}. Best is trial 12 with value: 0.473108965717916.
[I 2026-02-19 15:22:38,688] Trial 31 finished with value: 0.4737975905603735 and parameters: {'lr': 0.0014685936173329682, 'weight_decay': 2.6836156803067196e-05}. Best is trial 12 with value: 0.473108965717916.
