/home/alex/git/intfeat/.venv/lib/python3.12/site-packages/joblib/_multiprocessing_helpers.py:44: UserWarning: [Errno 13] Permission denied.  joblib will operate in serial mode
  warnings.warn("%s.  joblib will operate in serial mode" % (e,))

===== Variant: bspline_integer_basis =====
Loaded rows [0, 2000000) in 45.8s
Loaded rows [2000000, 2400000) in 10.6s
Tuning rows: train=2000000 val=400000 (full train=2000000, full val=400000)
[I 2026-02-20 19:40:31,615] A new study created in RDB with name: criteo_head2m_bspline_qcap_large_bspline_integer_basis
Study 'criteo_head2m_bspline_qcap_large_bspline_integer_basis': completed_before=0, target=100, running_now=100
/home/alex/git/intfeat/.venv/lib/python3.12/site-packages/torch/cuda/__init__.py:182: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 11040). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at /pytorch/c10/cuda/CUDAFunctions.cpp:109.)
  return torch._C._cuda_getDeviceCount() > 0
[I 2026-02-21 01:24:09,076] Trial 21 finished with value: 0.45149938691705405 and parameters: {'lr': 0.0007747895435830924, 'weight_decay': 4.435165595485228e-07}. Best is trial 11 with value: 0.45148995242013623.
[I 2026-02-21 01:41:05,363] Trial 22 finished with value: 0.45270032193379955 and parameters: {'lr': 0.0004957547237088648, 'weight_decay': 2.924605717612173e-07}. Best is trial 11 with value: 0.45148995242013623.
[I 2026-02-21 01:57:46,376] Trial 23 finished with value: 0.45162647634557784 and parameters: {'lr': 0.0007192589489835689, 'weight_decay': 4.103150967255846e-08}. Best is trial 11 with value: 0.45148995242013623.
[I 2026-02-21 02:14:20,287] Trial 24 finished with value: 0.454193506110474 and parameters: {'lr': 0.002004617910720449, 'weight_decay': 5.544888585065558e-07}. Best is trial 11 with value: 0.45148995242013623.
[I 2026-02-21 02:31:08,962] Trial 25 finished with value: 0.4517145193138351 and parameters: {'lr': 0.001162201594738018, 'weight_decay': 3.1735668424563583e-06}. Best is trial 11 with value: 0.45148995242013623.
[I 2026-02-21 02:48:03,377] Trial 26 finished with value: 0.45451154746033806 and parameters: {'lr': 0.0002814145272515245, 'weight_decay': 3.809355470817764e-08}. Best is trial 11 with value: 0.45148995242013623.
[I 2026-02-21 03:04:44,955] Trial 27 finished with value: 0.46527364799625703 and parameters: {'lr': 0.004160617933755996, 'weight_decay': 7.248086416278675e-07}. Best is trial 11 with value: 0.45148995242013623.
[I 2026-02-21 03:21:43,763] Trial 28 finished with value: 0.4571556706919365 and parameters: {'lr': 0.0016156515071903445, 'weight_decay': 5.6049990263641125e-05}. Best is trial 11 with value: 0.45148995242013623.
[I 2026-02-21 03:38:34,152] Trial 29 finished with value: 0.4531114753059806 and parameters: {'lr': 0.000534426982556265, 'weight_decay': 9.324291598736577e-06}. Best is trial 11 with value: 0.45148995242013623.
[I 2026-02-21 03:54:52,783] Trial 30 finished with value: 0.4518307012376489 and parameters: {'lr': 0.0006550431074312629, 'weight_decay': 3.3568419802575767e-07}. Best is trial 11 with value: 0.45148995242013623.
