/home/alex/git/intfeat/.venv/lib/python3.12/site-packages/joblib/_multiprocessing_helpers.py:44: UserWarning: [Errno 13] Permission denied.  joblib will operate in serial mode
  warnings.warn("%s.  joblib will operate in serial mode" % (e,))

===== Variant: hybrid_bspline_sl =====
Loaded rows [0, 2000000) in 42.4s
Loaded rows [2000000, 2400000) in 10.8s
Tuning rows: train=2000000 val=400000 (full train=2000000, full val=400000)
[I 2026-02-22 22:45:44,051] A new study created in RDB with name: criteo_head2m_hybrid_i5_inverse_square_fixed_hybrid_bspline_sl
Study 'criteo_head2m_hybrid_i5_inverse_square_fixed_hybrid_bspline_sl': completed_before=0, target=100, running_now=100
/home/alex/git/intfeat/.venv/lib/python3.12/site-packages/torch/cuda/__init__.py:182: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 11040). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at /pytorch/c10/cuda/CUDAFunctions.cpp:109.)
  return torch._C._cuda_getDeviceCount() > 0
[I 2026-02-23 03:33:46,458] Trial 21 finished with value: 0.45223997212507944 and parameters: {'lr': 0.0008657857585898337, 'weight_decay': 2.703534293892951e-07}. Best is trial 21 with value: 0.45223997212507944.
[I 2026-02-23 03:45:33,340] Trial 22 finished with value: 0.45247340281599085 and parameters: {'lr': 0.000687843612133061, 'weight_decay': 3.585397950464821e-07}. Best is trial 21 with value: 0.45223997212507944.
[I 2026-02-23 03:57:28,574] Trial 23 finished with value: 0.4531372190791951 and parameters: {'lr': 0.0013981376638615805, 'weight_decay': 6.064404714655283e-08}. Best is trial 21 with value: 0.45223997212507944.
[I 2026-02-23 04:09:23,225] Trial 24 finished with value: 0.45427564565713646 and parameters: {'lr': 0.00038152528009684927, 'weight_decay': 5.4860547805966015e-06}. Best is trial 21 with value: 0.45223997212507944.
[I 2026-02-23 04:21:15,965] Trial 25 finished with value: 0.4523088577495385 and parameters: {'lr': 0.0007762790298774388, 'weight_decay': 3.7120416499879087e-07}. Best is trial 21 with value: 0.45223997212507944.
[I 2026-02-23 04:33:10,453] Trial 26 finished with value: 0.457583860690062 and parameters: {'lr': 0.002348552604549994, 'weight_decay': 6.942153847694823e-08}. Best is trial 21 with value: 0.45223997212507944.
[I 2026-02-23 04:45:04,440] Trial 27 finished with value: 0.4529353226315743 and parameters: {'lr': 0.0005429201133222037, 'weight_decay': 2.2072033947375407e-07}. Best is trial 21 with value: 0.45223997212507944.
[I 2026-02-23 04:56:56,373] Trial 28 finished with value: 0.4547678881056962 and parameters: {'lr': 0.00027210110786671037, 'weight_decay': 7.023241296555705e-07}. Best is trial 21 with value: 0.45223997212507944.
[I 2026-02-23 05:08:56,156] Trial 29 finished with value: 0.45554105237095605 and parameters: {'lr': 0.0004799846565273468, 'weight_decay': 3.751200821083433e-05}. Best is trial 21 with value: 0.45223997212507944.
[I 2026-02-23 05:20:56,284] Trial 30 finished with value: 0.45249990351490627 and parameters: {'lr': 0.0008479164540500427, 'weight_decay': 3.9267641152489e-06}. Best is trial 21 with value: 0.45223997212507944.
[I 2026-02-23 05:32:52,896] Trial 31 finished with value: 0.45281221345238765 and parameters: {'lr': 0.0013109833200274285, 'weight_decay': 4.023737423369403e-07}. Best is trial 21 with value: 0.45223997212507944.
[I 2026-02-23 05:44:42,165] Trial 32 finished with value: 0.4522663652173852 and parameters: {'lr': 0.0008422246411748024, 'weight_decay': 3.850091978286372e-08}. Best is trial 21 with value: 0.45223997212507944.
[I 2026-02-23 05:56:44,352] Trial 33 finished with value: 0.45522990194808216 and parameters: {'lr': 0.0019008271669857686, 'weight_decay': 3.4591596281827866e-08}. Best is trial 21 with value: 0.45223997212507944.
[I 2026-02-23 06:08:33,185] Trial 34 finished with value: 0.45226128073915023 and parameters: {'lr': 0.0008428728740928136, 'weight_decay': 8.824235674738915e-08}. Best is trial 21 with value: 0.45223997212507944.
[I 2026-02-23 06:20:23,843] Trial 35 finished with value: 0.453060127748503 and parameters: {'lr': 0.0005158762637887437, 'weight_decay': 1.289078334088913e-07}. Best is trial 21 with value: 0.45223997212507944.
[I 2026-02-23 06:32:14,983] Trial 36 finished with value: 0.46361024927490224 and parameters: {'lr': 0.003327528914795919, 'weight_decay': 8.061175300921021e-08}. Best is trial 21 with value: 0.45223997212507944.
[I 2026-02-23 06:44:20,970] Trial 37 finished with value: 0.4720637975690865 and parameters: {'lr': 0.001277821746968243, 'weight_decay': 0.0009262400523003135}. Best is trial 21 with value: 0.45223997212507944.
[I 2026-02-23 06:56:16,477] Trial 38 finished with value: 0.45225044775192436 and parameters: {'lr': 0.0009320335519444261, 'weight_decay': 1.5290940406305477e-07}. Best is trial 21 with value: 0.45223997212507944.
[I 2026-02-23 07:08:08,051] Trial 39 finished with value: 0.4561692057348935 and parameters: {'lr': 0.00016070993859126334, 'weight_decay': 1.8870446556794879e-07}. Best is trial 21 with value: 0.45223997212507944.
[I 2026-02-23 07:21:46,421] Trial 40 finished with value: 0.4661272103091401 and parameters: {'lr': 0.0025057903664886193, 'weight_decay': 0.0002300321352421285}. Best is trial 21 with value: 0.45223997212507944.
[I 2026-02-23 07:33:55,593] Trial 41 finished with value: 0.4522502652305336 and parameters: {'lr': 0.0009754236168910795, 'weight_decay': 8.567929947362119e-07}. Best is trial 21 with value: 0.45223997212507944.
[I 2026-02-23 07:45:55,067] Trial 42 finished with value: 0.45334979982353657 and parameters: {'lr': 0.0015306414815218835, 'weight_decay': 2.9524363297057693e-06}. Best is trial 21 with value: 0.45223997212507944.
[I 2026-02-23 07:58:10,892] Trial 43 finished with value: 0.4522757421693913 and parameters: {'lr': 0.0010139427152928513, 'weight_decay': 8.987219085596484e-07}. Best is trial 21 with value: 0.45223997212507944.
[I 2026-02-23 08:10:29,214] Trial 44 finished with value: 0.4543734871329612 and parameters: {'lr': 0.0006655972312289728, 'weight_decay': 2.3591871670888046e-05}. Best is trial 21 with value: 0.45223997212507944.
[I 2026-02-23 08:23:00,264] Trial 45 finished with value: 0.45467613629569825 and parameters: {'lr': 0.0018165536281462464, 'weight_decay': 2.1346867068489997e-07}. Best is trial 21 with value: 0.45223997212507944.
[I 2026-02-23 08:35:39,577] Trial 46 finished with value: 0.4524729486999562 and parameters: {'lr': 0.001165844696937984, 'weight_decay': 7.284783601828355e-07}. Best is trial 21 with value: 0.45223997212507944.
