/home/alex/git/intfeat/.venv/lib/python3.12/site-packages/joblib/_multiprocessing_helpers.py:44: UserWarning: [Errno 13] Permission denied.  joblib will operate in serial mode
  warnings.warn("%s.  joblib will operate in serial mode" % (e,))

===== Variant: hybrid_bspline_sl =====
Loaded rows [0, 2000000) in 37.6s
Loaded rows [2000000, 2400000) in 9.5s
Tuning rows: train=2000000 val=400000 (full train=2000000, full val=400000)
[I 2026-02-21 22:01:40,047] A new study created in RDB with name: criteo_head2m_hybrid_i5_u_right_fixed_hybrid_bspline_sl
Study 'criteo_head2m_hybrid_i5_u_right_fixed_hybrid_bspline_sl': completed_before=0, target=100, running_now=100
/home/alex/git/intfeat/.venv/lib/python3.12/site-packages/torch/cuda/__init__.py:182: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 11040). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at /pytorch/c10/cuda/CUDAFunctions.cpp:109.)
  return torch._C._cuda_getDeviceCount() > 0
[I 2026-02-22 02:37:42,629] Trial 21 finished with value: 0.45270221176350517 and parameters: {'lr': 0.000695045475127085, 'weight_decay': 4.743278799725035e-07}. Best is trial 17 with value: 0.4525409450834401.
[I 2026-02-22 02:49:08,585] Trial 22 finished with value: 0.4526409448020298 and parameters: {'lr': 0.0010167121974439097, 'weight_decay': 4.8816651589112623e-08}. Best is trial 17 with value: 0.4525409450834401.
[I 2026-02-22 03:00:41,406] Trial 23 finished with value: 0.452977419752943 and parameters: {'lr': 0.0006959000500776001, 'weight_decay': 4.358152077316494e-06}. Best is trial 17 with value: 0.4525409450834401.
[I 2026-02-22 03:12:15,036] Trial 24 finished with value: 0.4551475749850487 and parameters: {'lr': 0.002004617910720449, 'weight_decay': 4.996841142671992e-07}. Best is trial 17 with value: 0.4525409450834401.
[I 2026-02-22 03:23:54,803] Trial 25 finished with value: 0.45258335064149546 and parameters: {'lr': 0.0007961104865194793, 'weight_decay': 1.1365362142876516e-08}. Best is trial 17 with value: 0.4525409450834401.
[I 2026-02-22 03:35:28,913] Trial 26 finished with value: 0.45359051783682525 and parameters: {'lr': 0.0004689693622453465, 'weight_decay': 2.2561408555513072e-08}. Best is trial 17 with value: 0.4525409450834401.
[I 2026-02-22 03:47:00,311] Trial 27 finished with value: 0.45514635999004605 and parameters: {'lr': 0.0002434439057318571, 'weight_decay': 5.201167774456911e-08}. Best is trial 17 with value: 0.4525409450834401.
[I 2026-02-22 03:58:35,809] Trial 28 finished with value: 0.4525564637228805 and parameters: {'lr': 0.0008989885949119486, 'weight_decay': 1.1001406828956554e-08}. Best is trial 17 with value: 0.4525409450834401.
[I 2026-02-22 04:10:03,537] Trial 29 finished with value: 0.4545414563556051 and parameters: {'lr': 0.0015701636568613514, 'weight_decay': 1.499757382922905e-05}. Best is trial 17 with value: 0.4525409450834401.
[I 2026-02-22 04:21:49,087] Trial 30 finished with value: 0.4625645736467059 and parameters: {'lr': 0.00046630725707128495, 'weight_decay': 0.00032335572081362255}. Best is trial 17 with value: 0.4525409450834401.
[I 2026-02-22 04:33:17,944] Trial 31 finished with value: 0.4525523693155426 and parameters: {'lr': 0.0008679995669909151, 'weight_decay': 1.833919220695611e-08}. Best is trial 17 with value: 0.4525409450834401.
[I 2026-02-22 04:44:47,094] Trial 32 finished with value: 0.4525486410848645 and parameters: {'lr': 0.0008803267998900394, 'weight_decay': 6.787262108113348e-08}. Best is trial 17 with value: 0.4525409450834401.
[I 2026-02-22 04:56:15,892] Trial 33 finished with value: 0.45325866751425187 and parameters: {'lr': 0.0005239577641842808, 'weight_decay': 8.157951002296408e-08}. Best is trial 17 with value: 0.4525409450834401.
[I 2026-02-22 05:07:41,106] Trial 34 finished with value: 0.4575503168048916 and parameters: {'lr': 0.002370729694941712, 'weight_decay': 2.4016386136582655e-08}. Best is trial 17 with value: 0.4525409450834401.
[I 2026-02-22 05:19:10,005] Trial 35 finished with value: 0.4534752111750661 and parameters: {'lr': 0.0014437191552365252, 'weight_decay': 5.1082894100379705e-08}. Best is trial 17 with value: 0.4525409450834401.
[I 2026-02-22 05:30:38,958] Trial 36 finished with value: 0.4636316963194932 and parameters: {'lr': 0.003327528914795919, 'weight_decay': 1.2234061723825203e-07}. Best is trial 17 with value: 0.4525409450834401.
[I 2026-02-22 05:42:14,686] Trial 37 finished with value: 0.45256412279406466 and parameters: {'lr': 0.0008270998539932572, 'weight_decay': 1.0448026375072994e-08}. Best is trial 17 with value: 0.4525409450834401.
[I 2026-02-22 05:53:42,948] Trial 38 finished with value: 0.4530115599607838 and parameters: {'lr': 0.0005820399601335829, 'weight_decay': 8.479019287489959e-08}. Best is trial 17 with value: 0.4525409450834401.
[I 2026-02-22 06:05:13,893] Trial 39 finished with value: 0.45624051560653955 and parameters: {'lr': 0.00015946324834034258, 'weight_decay': 1.8870446556794879e-07}. Best is trial 17 with value: 0.4525409450834401.
[I 2026-02-22 06:16:50,338] Trial 40 finished with value: 0.45298145684228364 and parameters: {'lr': 0.001216600835916156, 'weight_decay': 2.9448167231777388e-08}. Best is trial 17 with value: 0.4525409450834401.
