/home/alex/git/intfeat/.venv/lib/python3.12/site-packages/joblib/_multiprocessing_helpers.py:44: UserWarning: [Errno 13] Permission denied.  joblib will operate in serial mode
  warnings.warn("%s.  joblib will operate in serial mode" % (e,))

===== Variant: baseline_winner =====
Loaded rows [0, 1000000) in 21.1s
Loaded rows [1000000, 1200000) in 5.2s
Tuning rows: train=1000000 val=200000 (full train=1000000, full val=200000)
[I 2026-02-11 09:53:25,647] A new study created in RDB with name: criteo_1m200k_transfer_uvalley_fixed_baseline_winner
Study 'criteo_1m200k_transfer_uvalley_fixed_baseline_winner': completed_before=0, target=100, running_now=100
/home/alex/git/intfeat/.venv/lib/python3.12/site-packages/torch/cuda/__init__.py:182: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 11040). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at /pytorch/c10/cuda/CUDAFunctions.cpp:109.)
  return torch._C._cuda_getDeviceCount() > 0
[I 2026-02-11 10:41:35,621] Trial 21 finished with value: 0.4588586735713175 and parameters: {'lr': 0.0013878988785969396, 'weight_decay': 1.6134073305440598e-08}. Best is trial 10 with value: 0.4588235137651634.
[I 2026-02-11 10:43:44,229] Trial 22 finished with value: 0.45883944675557026 and parameters: {'lr': 0.0012001629444458155, 'weight_decay': 6.069004995792615e-08}. Best is trial 10 with value: 0.4588235137651634.
[I 2026-02-11 10:45:51,901] Trial 23 finished with value: 0.46058761816401406 and parameters: {'lr': 0.000582201862914358, 'weight_decay': 3.383676782182548e-07}. Best is trial 10 with value: 0.4588235137651634.
[I 2026-02-11 10:47:58,874] Trial 24 finished with value: 0.4595967384654346 and parameters: {'lr': 0.002004617910720449, 'weight_decay': 3.304473423818335e-08}. Best is trial 10 with value: 0.4588235137651634.
[I 2026-02-11 10:50:06,196] Trial 25 finished with value: 0.46811631293622696 and parameters: {'lr': 0.003979652033697285, 'weight_decay': 4.78570419845307e-07}. Best is trial 10 with value: 0.4588235137651634.
[I 2026-02-11 10:52:14,504] Trial 26 finished with value: 0.46407823464150805 and parameters: {'lr': 0.0009231386305679198, 'weight_decay': 9.559574710535261e-05}. Best is trial 10 with value: 0.4588235137651634.
[I 2026-02-11 10:54:22,022] Trial 27 finished with value: 0.4609762377207636 and parameters: {'lr': 0.0004211820672276473, 'weight_decay': 3.7142191725666375e-06}. Best is trial 10 with value: 0.4588235137651634.
[I 2026-02-11 10:56:29,757] Trial 28 finished with value: 0.4692443761220823 and parameters: {'lr': 0.0006525626583165336, 'weight_decay': 0.00039860165960759115}. Best is trial 10 with value: 0.4588235137651634.
[I 2026-02-11 10:58:38,302] Trial 29 finished with value: 0.4591926655597512 and parameters: {'lr': 0.0018951706472316318, 'weight_decay': 1.1655752144315387e-06}. Best is trial 10 with value: 0.4588235137651634.
[I 2026-02-11 11:00:45,237] Trial 30 finished with value: 0.45896480725333605 and parameters: {'lr': 0.0010777885575119525, 'weight_decay': 4.132976079490657e-08}. Best is trial 10 with value: 0.4588235137651634.
